Time,hares,foxes
82,664.87067,267.02576
82.1,658.7072,265.51038
82.2,652.6503,263.99557
82.3,646.6981,262.4815
82.4,640.8487,260.96844
82.5,635.10016,259.45657
82.6,629.4508,257.9461
82.7,623.89874,256.43726
82.8,618.4423,254.9302
82.9,613.0798,253.42516
83,607.8094,251.9223
83.1,602.6296,250.42183
83.2,597.53876,248.92389
83.3,592.5352,247.42867
83.4,587.6175,245.93633
83.5,582.784,244.44704
83.6,578.03326,242.96094
83.7,573.36383,241.47818
83.8,568.77423,239.99892
83.9,564.26306,238.5233
84,559.8289,237.05144
84.1,555.4704,235.5835
84.2,551.1862,234.11958
84.3,546.9751,232.65982
84.4,542.8357,231.20433
84.5,538.7668,229.75323
84.6,534.7671,228.30664
84.7,530.83545,226.86465
84.8,526.97064,225.42738
84.9,523.17145,223.99493
85,519.4368,222.56738
85.1,515.7656,221.14485
85.2,512.15674,219.7274
85.3,508.60904,218.31512
85.4,505.12155,216.90811
85.5,501.69318,215.50645
85.6,498.32294,214.11021
85.7,495.00986,212.71945
85.8,491.7529,211.33426
85.9,488.55115,209.9547
86,485.40366,208.58083
86.1,482.30948,207.21272
86.2,479.26776,205.85043
86.3,476.2776,204.494
86.4,473.33813,203.14351
86.5,470.4485,201.799
86.6,467.60785,200.46051
86.7,464.8154,199.12808
86.8,462.0703,197.80179
86.9,459.37186,196.48166
87,456.71924,195.16771
87.1,454.1117,193.86002
87.2,451.5485,192.55858
87.3,449.0289,191.26346
87.4,446.55222,189.97469
87.5,444.1177,188.69226
87.6,441.72476,187.41624
87.7,439.37265,186.14664
87.8,437.06076,184.88348
87.9,434.78842,183.6268
88,432.555,182.3766
88.1,430.35986,181.1329
88.2,428.20242,179.89574
88.3,426.0821,178.6651
88.4,423.9983,177.44102
88.5,421.95044,176.22351
88.6,419.93796,175.01259
88.7,417.96033,173.80824
88.8,416.01697,172.61049
88.9,414.1074,171.41934
89,412.23108,170.2348
89.1,410.38748,169.05687
89.2,408.57614,167.88556
89.3,406.79654,166.72087
89.4,405.0482,165.5628
89.5,403.3307,164.41135
89.6,401.6435,163.26653
89.7,399.98618,162.1283
89.8,398.35834,160.9967
89.9,396.75946,159.8717
90,395.1892,158.75331
90.1,393.6471,157.64151
90.2,392.13272,156.53632
90.3,390.64572,155.43768
90.4,389.18567,154.34564
90.5,387.75217,153.26016
90.6,386.34488,152.18123
90.7,384.96338,151.10883
90.8,383.60733,150.04297
90.9,382.27637,148.98363
91,380.97012,147.93079
91.1,379.6883,146.88445
91.2,378.43048,145.84457
91.3,377.1964,144.81116
91.4,375.98575,143.78418
91.5,374.79813,142.76364
91.6,373.63327,141.74951
91.7,372.49084,140.74176
91.8,371.3706,139.7404
91.9,370.2722,138.74539
92,369.1953,137.75671
92.1,368.13974,136.77435
92.2,367.10513,135.7983
92.3,366.09128,134.82849
92.4,365.09784,133.86496
92.5,364.12457,132.90765
92.6,363.17126,131.95656
92.7,362.23758,131.01166
92.8,361.32333,130.07292
92.9,360.42825,129.14032
93,359.5521,128.21385
93.1,358.69464,127.293465
93.2,357.85565,126.37915
93.3,357.03485,125.47089
93.4,356.2321,124.56864
93.5,355.4471,123.67239
93.6,354.67972,122.78212
93.7,353.92966,121.89779
93.8,353.19675,121.01938
93.9,352.4808,120.146866
94,351.7816,119.28022
94.1,351.09894,118.41942
94.2,350.43262,117.56443
94.3,349.78247,116.71523
94.4,349.14832,115.8718
94.5,348.52997,115.034096
94.6,347.92722,114.2021
94.7,347.33994,113.37579
94.8,346.76788,112.55513
94.9,346.21097,111.7401
95,345.66898,110.93066
95.1,345.14172,110.126785
95.2,344.62912,109.32846
95.3,344.13095,108.535645
95.4,343.64706,107.748314
95.5,343.17734,106.96644
95.6,342.7216,106.18999
95.7,342.2797,105.418945
95.8,341.8515,104.65327
95.9,341.4369,103.89294
